RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Notes
27530,52553,STANDARD,EDDYVILLE,IA,PRIMARY,41.15,-92.62,-0.03,-0.75,0.65,NA,US,"Eddyville, IA",NA-US-IA-EDDYVILLE,FALSE,773,1419,26627873,
27531,52042,STANDARD,EDGEWOOD,IA,PRIMARY,42.64,-91.4,-0.01,-0.73,0.67,NA,US,"Edgewood, IA",NA-US-IA-EDGEWOOD,FALSE,695,1324,19399091,
27537,52554,STANDARD,ELDON,IA,PRIMARY,40.91,-92.21,-0.02,-0.75,0.65,NA,US,"Eldon, IA",NA-US-IA-ELDON,FALSE,588,1087,15844941,
27540,50627,STANDARD,ELDORA,IA,PRIMARY,42.36,-93.1,-0.03,-0.73,0.67,NA,US,"Eldora, IA",NA-US-IA-ELDORA,FALSE,1489,2642,42626424,
27541,52748,STANDARD,ELDRIDGE,IA,PRIMARY,41.63,-90.57,-7.48E-03,-0.74,0.66,NA,US,"Eldridge, IA",NA-US-IA-ELDRIDGE,FALSE,4082,7608,199334547,
27543,52141,STANDARD,ELGIN,IA,PRIMARY,42.95,-91.63,-0.02,-0.73,0.68,NA,US,"Elgin, IA",NA-US-IA-ELGIN,FALSE,618,1144,17684001,
27545,52043,STANDARD,ELKADER,IA,PRIMARY,42.85,-91.4,-0.01,-0.73,0.68,NA,US,"Elkader, IA",NA-US-IA-ELKADER,FALSE,1083,1947,33241578,
27550,50073,STANDARD,ELKHART,IA,PRIMARY,41.79,-93.51,-0.04,-0.74,0.66,NA,US,"Elkhart, IA",NA-US-IA-ELKHART,FALSE,524,1011,24417213,
27555,50075,STANDARD,ELLSWORTH,IA,PRIMARY,42.31,-93.58,-0.04,-0.73,0.67,NA,US,"Ellsworth, IA",NA-US-IA-ELLSWORTH,FALSE,399,723,12412313,
27556,50628,STANDARD,ELMA,IA,PRIMARY,43.24,-92.44,-0.03,-0.72,0.68,NA,US,"Elma, IA",NA-US-IA-ELMA,FALSE,578,1059,12587617,
27558,52227,STANDARD,ELY,IA,PRIMARY,41.87,-91.58,-0.02,-0.74,0.66,NA,US,"Ely, IA",NA-US-IA-ELY,FALSE,1092,2084,58722495,
27559,50536,STANDARD,EMMETSBURG,IA,PRIMARY,43.11,-94.68,-0.05,-0.72,0.68,NA,US,"Emmetsburg, IA",NA-US-IA-EMMETSBURG,FALSE,1976,3460,56524446,
27561,52045,STANDARD,EPWORTH,IA,PRIMARY,42.44,-90.93,-0.01,-0.73,0.67,NA,US,"Epworth, IA",NA-US-IA-EPWORTH,FALSE,1123,2087,39658070,
27563,51334,STANDARD,ESTHERVILLE,IA,PRIMARY,43.39,-94.83,-0.06,-0.72,0.68,NA,US,"Estherville, IA",NA-US-IA-ESTHERVILLE,FALSE,3425,6012,98159095,
27565,51338,STANDARD,EVERLY,IA,PRIMARY,43.16,-95.32,-0.06,-0.72,0.68,NA,US,"Everly, IA",NA-US-IA-EVERLY,FALSE,527,930,14984167,
27566,50076,STANDARD,EXIRA,IA,PRIMARY,41.59,-94.87,-0.06,-0.74,0.66,NA,US,"Exira, IA",NA-US-IA-EXIRA,FALSE,712,1233,16395719,
27569,50629,STANDARD,FAIRBANK,IA,PRIMARY,42.63,-92.05,-0.02,-0.73,0.67,NA,US,"Fairbank, IA",NA-US-IA-FAIRBANK,FALSE,945,1824,33326210,
27570,52228,STANDARD,FAIRFAX,IA,PRIMARY,41.92,-91.78,-0.02,-0.74,0.66,NA,US,"Fairfax, IA",NA-US-IA-FAIRFAX,FALSE,1267,2394,63081490,
27571,52556,STANDARD,FAIRFIELD,IA,PRIMARY,41,-91.96,-0.02,-0.75,0.65,NA,US,"Fairfield, IA",NA-US-IA-FAIRFIELD,FALSE,5871,9861,163006357,
27580,52046,STANDARD,FARLEY,IA,PRIMARY,42.44,-91,-0.01,-0.73,0.67,NA,US,"Farley, IA",NA-US-IA-FARLEY,FALSE,1011,1865,35231686,
27581,52047,STANDARD,FARMERSBURG,IA,PRIMARY,42.95,-91.36,-0.01,-0.73,0.68,NA,US,"Farmersburg, IA",NA-US-IA-FARMERSBURG,FALSE,285,515,7916145,
27584,52626,STANDARD,FARMINGTON,IA,PRIMARY,40.63,-91.73,-0.02,-0.75,0.65,NA,US,"Farmington, IA",NA-US-IA-FARMINGTON,FALSE,595,1043,15023565,
27585,50538,STANDARD,FARNHAMVILLE,IA,PRIMARY,42.27,-94.4,-0.05,-0.73,0.67,NA,US,"Farnhamville, IA",NA-US-IA-FARNHAMVILLE,FALSE,283,487,7740711,
27587,52142,STANDARD,FAYETTE,IA,PRIMARY,42.84,-91.8,-0.02,-0.73,0.67,NA,US,"Fayette, IA",NA-US-IA-FAYETTE,FALSE,613,1074,15544661,
27591,50539,STANDARD,FENTON,IA,PRIMARY,43.21,-94.42,-0.05,-0.72,0.68,NA,US,"Fenton, IA",NA-US-IA-FENTON,FALSE,257,467,5308117,
27596,50435,STANDARD,FLOYD,IA,PRIMARY,43.12,-92.73,-0.03,-0.72,0.68,NA,US,"Floyd, IA",NA-US-IA-FLOYD,FALSE,352,644,10358230,
27597,50540,STANDARD,FONDA,IA,PRIMARY,42.58,-94.84,-0.06,-0.73,0.67,NA,US,"Fonda, IA",NA-US-IA-FONDA,FALSE,494,892,11967222,
27599,50846,STANDARD,FONTANELLE,IA,PRIMARY,41.29,-94.56,-0.05,-0.74,0.65,NA,US,"Fontanelle, IA",NA-US-IA-FONTANELLE,FALSE,557,973,15345344,
27600,50436,STANDARD,FOREST CITY,IA,PRIMARY,43.25,-93.63,-0.04,-0.72,0.68,NA,US,"Forest City, IA",NA-US-IA-FOREST CITY,FALSE,2723,4832,86047944,
